nodo_id,nombre,distrito,tipo,latitud,longitud,demanda_paquetes,ventana_inicio,ventana_fin,prioridad
29,Punto Reparto 29,San Juan Lurig.,punto_reparto,-12.153122,-76.960639,29,9,14,5
30,Cliente Final 30,El Agustino,cliente_final,-12.05902,-76.999338,8,8,14,3
31,Punto Reparto 31,Puente Piedra,punto_reparto,-11.866936,-77.066452,30,10,16,1
32,Almacén 32,Villa María,almacén,-12.162263,-76.944723,0,8,14,4
33,Hub Distribución 33,Comas,hub_distribución,-11.959605,-77.073429,38,9,16,4
34,Cliente Final 34,Magdalena,cliente_final,-12.098482,-77.067871,3,10,20,2
35,Cliente Final 35,Callao,cliente_final,-12.068535,-77.122481,9,9,18,4
36,Punto Reparto 36,Lima Cercado,punto_reparto,-12.05886,-77.052251,25,10,20,5
37,Cliente Final 37,Pachacámac,cliente_final,-12.248939,-76.850515,2,9,16,1
38,Cliente Final 38,El Agustino,cliente_final,-12.03333,-76.991427,1,9,16,1
39,Punto Reparto 39,Barranco,punto_reparto,-12.160971,-77.002072,27,8,16,1
40,Punto Reparto 40,Puente Piedra,punto_reparto,-11.854628,-77.060195,6,10,14,5
41,Punto Reparto 41,Villa María,punto_reparto,-12.182897,-76.954703,13,11,16,5
42,Almacén 42,La Molina,almacén,-12.067599,-76.926563,0,11,16,4
43,Punto Reparto 43,Independencia,punto_reparto,-11.989463,-77.064129,18,9,14,1
44,Cliente Final 44,Lima Cercado,cliente_final,-12.064307,-77.039219,7,10,20,4
45,Cliente Final 45,Pachacámac,cliente_final,-12.24084,-76.87106,1,8,14,4
46,Cliente Final 46,San Martín Porres,cliente_final,-12.026819,-77.046411,6,8,16,2
47,Punto Reparto 47,Chorrillos,punto_reparto,-12.182411,-77.022638,22,11,16,4
48,Hub Distribución 48,San Borja,hub_distribución,-12.119158,-77.023656,65,11,16,1
49,Punto Reparto 49,Pachacámac,punto_reparto,-12.231866,-76.894426,30,8,14,5
50,Punto Reparto 50,Comas,punto_reparto,-11.919587,-77.063022,5,8,16,2
51,Punto Reparto 51,Lurín,punto_reparto,-12.278527,-76.845717,20,11,16,4
52,Punto Reparto 52,Puente Piedra,punto_reparto,-11.861393,-77.066919,6,9,20,1
53,Hub Distribución 53,Villa El Salvador,hub_distribución,-12.198589,-76.946611,63,11,18,4
54,Punto Reparto 54,Rímac,punto_reparto,-12.021924,-77.029911,28,11,16,2
55,Punto Reparto 55,Santa Anita,punto_reparto,-12.030135,-76.970861,11,8,14,3
56,Cliente Final 56,San Isidro,cliente_final,-12.120461,-77.032255,1,11,16,1
57,Punto Reparto 57,Jesús María,punto_reparto,-12.097471,-77.042695,7,9,14,5
58,Cliente Final 58,Barranco,cliente_final,-12.138041,-77.037982,4,11,14,5
59,Punto Reparto 59,Villa María,punto_reparto,-12.169063,-76.919264,23,8,14,4
60,Cliente Final 60,Lima Cercado,cliente_final,-12.053247,-77.050426,10,10,18,2
61,Cliente Final 61,Lima Cercado,cliente_final,-12.026433,-77.043203,6,9,18,4
62,Punto Reparto 62,La Molina,punto_reparto,-12.067639,-76.94184,26,10,20,3
63,Cliente Final 63,Callao,cliente_final,-12.068907,-77.138345,2,8,20,5
64,Punto Reparto 64,San Miguel,punto_reparto,-12.056879,-77.080045,8,8,16,5
65,Cliente Final 65,Ate,cliente_final,-12.03754,-76.898702,3,10,14,2
66,Hub Distribución 66,San Juan Lurig.,hub_distribución,-12.140646,-76.966006,66,9,20,5
67,Cliente Final 67,Rímac,cliente_final,-12.049393,-77.048619,5,8,18,1
68,Punto Reparto 68,Puente Piedra,punto_reparto,-11.864679,-77.10454,9,10,14,1
69,Punto Reparto 69,San Martín Porres,punto_reparto,-12.011825,-77.094747,22,9,18,3
70,Cliente Final 70,Pueblo Libre,cliente_final,-12.072263,-77.052105,4,10,16,3
71,Punto Reparto 71,Jesús María,punto_reparto,-12.087087,-77.032691,20,10,14,1
72,Hub Distribución 72,Breña,hub_distribución,-12.07063,-77.041275,84,10,14,1
73,Punto Reparto 73,El Agustino,punto_reparto,-12.022539,-77.002119,29,9,18,2
74,Punto Reparto 74,San Martín Porres,punto_reparto,-12.040316,-77.076614,19,11,14,1
75,Punto Reparto 75,Barranco,punto_reparto,-12.158101,-76.998049,27,9,14,3
76,Cliente Final 76,San Miguel,cliente_final,-12.057298,-77.080143,9,9,20,2
77,Punto Reparto 77,San Isidro,punto_reparto,-12.097368,-77.032955,14,10,14,3
78,Punto Reparto 78,Chorrillos,punto_reparto,-12.185238,-77.011377,26,9,14,3
79,Punto Reparto 79,Los Olivos,punto_reparto,-12.013784,-77.062726,22,11,16,2
80,Cliente Final 80,Carabayllo,cliente_final,-11.857977,-77.007304,3,9,20,1
81,Cliente Final 81,San Borja,cliente_final,-12.114892,-77.024727,6,11,16,3
82,Cliente Final 82,San Borja,cliente_final,-12.111991,-76.977167,2,11,14,4
83,Punto Reparto 83,Villa María,punto_reparto,-12.14575,-76.951378,11,11,18,3
84,Punto Reparto 84,Comas,punto_reparto,-11.922443,-77.059154,30,9,16,1
85,Cliente Final 85,Lima Cercado,cliente_final,-12.04246,-77.009292,4,11,18,3
86,Hub Distribución 86,Carabayllo,hub_distribución,-11.876497,-77.050141,38,10,18,5
87,Punto Reparto 87,Villa El Salvador,punto_reparto,-12.185497,-76.957996,26,10,14,1
88,Cliente Final 88,Puente Piedra,cliente_final,-11.851131,-77.067962,5,9,18,1
89,Punto Reparto 89,Surco,punto_reparto,-12.136876,-77.006725,24,11,18,3
90,Cliente Final 90,Lurín,cliente_final,-12.262532,-76.854494,10,8,20,5
91,Punto Reparto 91,Chorrillos,punto_reparto,-12.149338,-77.021933,13,8,20,1
92,Cliente Final 92,Jesús María,cliente_final,-12.058385,-77.035802,9,9,18,4
93,Punto Reparto 93,Barranco,punto_reparto,-12.13051,-77.0022,26,10,18,1
94,Punto Reparto 94,San Martín Porres,punto_reparto,-12.026221,-77.090301,14,10,20,3
95,Punto Reparto 95,Villa El Salvador,punto_reparto,-12.233203,-76.94172,27,10,16,2
96,Punto Reparto 96,Lurín,punto_reparto,-12.288673,-76.865458,26,11,16,5
97,Punto Reparto 97,San Miguel,punto_reparto,-12.100033,-77.07057,14,11,14,3
98,Cliente Final 98,Santa Anita,cliente_final,-12.065547,-76.960788,4,11,18,4
99,Punto Reparto 99,Pachacámac,punto_reparto,-12.246209,-76.865855,19,9,20,2
100,Punto Reparto 100,Lima Cercado,punto_reparto,-12.067716,-77.029532,7,10,18,1
101,Cliente Final 101,Comas,cliente_final,-11.933129,-77.038695,4,10,16,2
102,Cliente Final 102,La Molina,cliente_final,-12.082685,-76.953452,1,8,16,4
103,Punto Reparto 103,Pueblo Libre,punto_reparto,-12.086158,-77.064751,29,8,20,4
104,Cliente Final 104,Puente Piedra,cliente_final,-11.893732,-77.056868,10,9,20,4
105,Punto Reparto 105,Villa El Salvador,punto_reparto,-12.200201,-76.944552,12,9,14,1
106,Punto Reparto 106,Los Olivos,punto_reparto,-12.007178,-77.082488,18,9,16,5
107,Punto Reparto 107,Pachacámac,punto_reparto,-12.22127,-76.86399,6,9,14,4
108,Punto Reparto 108,La Molina,punto_reparto,-12.060757,-76.932705,30,11,18,4
109,Punto Reparto 109,Pueblo Libre,punto_reparto,-12.069114,-77.06572,28,11,20,2
110,Almacén 110,San Martín Porres,almacén,-12.027201,-77.057108,0,11,20,3
111,Punto Reparto 111,Los Olivos,punto_reparto,-12.009196,-77.0927,12,10,20,2
112,Punto Reparto 112,Ate,punto_reparto,-12.012227,-76.899817,19,8,18,2
113,Punto Reparto 113,Ate,punto_reparto,-12.050108,-76.910419,15,10,14,2
114,Punto Reparto 114,La Molina,punto_reparto,-12.09984,-76.947907,12,11,16,2
115,Punto Reparto 115,Barranco,punto_reparto,-12.139507,-77.014945,18,11,18,5
116,Punto Reparto 116,Pachacámac,punto_reparto,-12.238269,-76.865707,18,8,16,4
117,Punto Reparto 117,Villa El Salvador,punto_reparto,-12.192176,-76.932065,29,8,20,4
118,Almacén 118,Miraflores,almacén,-12.140572,-77.021079,0,10,18,4
119,Punto Reparto 119,Carabayllo,punto_reparto,-11.875711,-77.007988,18,9,20,2
120,Punto Reparto 120,Ate,punto_reparto,-12.035592,-76.902836,18,11,14,4
121,Punto Reparto 121,El Agustino,punto_reparto,-12.037719,-76.987927,26,11,16,4
122,Punto Reparto 122,Callao,punto_reparto,-12.03294,-77.097732,9,8,20,5
123,Almacén 123,San Miguel,almacén,-12.098432,-77.106661,0,8,14,4
124,Punto Reparto 124,La Molina,punto_reparto,-12.103778,-76.93545,19,9,14,3
125,Almacén 125,Villa El Salvador,almacén,-12.219051,-76.922756,0,10,16,4
126,Punto Reparto 126,El Agustino,punto_reparto,-12.024277,-77.020907,15,11,18,4
127,Cliente Final 127,Ate,cliente_final,-12.020163,-76.903553,2,11,14,5
128,Punto Reparto 128,San Isidro,punto_reparto,-12.085746,-77.021626,16,9,14,1
129,Cliente Final 129,Los Olivos,cliente_final,-12.006128,-77.057469,1,9,16,1
130,Punto Reparto 130,Pueblo Libre,punto_reparto,-12.050175,-77.066069,9,9,16,4
131,Cliente Final 131,Lima Cercado,cliente_final,-12.031479,-77.03906,2,9,20,3
132,Cliente Final 132,Los Olivos,cliente_final,-11.972079,-77.07355,6,9,14,2
133,Cliente Final 133,Santa Anita,cliente_final,-12.034173,-76.981744,2,8,18,5
134,Punto Reparto 134,Lima Cercado,punto_reparto,-12.045037,-77.014777,17,11,16,1
135,Almacén 135,San Miguel,almacén,-12.057124,-77.09224,0,9,14,3
136,Punto Reparto 136,Carabayllo,punto_reparto,-11.859731,-77.050436,26,8,14,3
137,Punto Reparto 137,Magdalena,punto_reparto,-12.066697,-77.04577,18,10,14,5
138,Punto Reparto 138,Breña,punto_reparto,-12.055308,-77.056178,15,8,20,4
139,Cliente Final 139,Surco,cliente_final,-12.155567,-76.991074,7,10,20,2
140,Punto Reparto 140,Lurín,punto_reparto,-12.263421,-76.855519,10,10,20,4
141,Punto Reparto 141,Lurín,punto_reparto,-12.278279,-76.892122,28,10,18,2
142,Punto Reparto 142,Comas,punto_reparto,-11.942923,-77.030615,7,10,20,2
143,Cliente Final 143,Los Olivos,cliente_final,-12.009147,-77.08785,8,11,18,1
144,Punto Reparto 144,Lince,punto_reparto,-12.079089,-77.056644,15,9,20,2
145,Cliente Final 145,San Juan Lurig.,cliente_final,-12.149952,-77.001362,5,10,18,5
146,Punto Reparto 146,Rímac,punto_reparto,-12.018288,-77.052633,13,8,16,1
147,Punto Reparto 147,Villa María,punto_reparto,-12.139068,-76.947386,28,11,20,5
148,Cliente Final 148,Los Olivos,cliente_final,-11.97436,-77.047638,4,11,20,4
149,Punto Reparto 149,Independencia,punto_reparto,-11.977331,-77.066187,5,8,18,2
150,Punto Reparto 150,Villa El Salvador,punto_reparto,-12.196143,-76.93708,27,9,18,5
151,Punto Reparto 151,San Juan Lurig.,punto_reparto,-12.139682,-76.99944,20,10,20,5
152,Punto Reparto 152,El Agustino,punto_reparto,-12.064432,-77.011567,16,11,18,3
153,Hub Distribución 153,Ate,hub_distribución,-12.049059,-76.929124,59,8,16,3
154,Cliente Final 154,Surco,cliente_final,-12.134698,-76.995532,9,9,16,2
155,Cliente Final 155,San Martín Porres,cliente_final,-12.026256,-77.080714,8,10,18,1
156,Almacén 156,Comas,almacén,-11.95382,-77.026839,0,9,18,2
157,Cliente Final 157,San Juan Lurig.,cliente_final,-12.136506,-77.002842,3,10,14,5
158,Punto Reparto 158,La Molina,punto_reparto,-12.082115,-76.919952,13,8,14,5
159,Punto Reparto 159,Santa Anita,punto_reparto,-12.044207,-76.938435,27,9,20,1
160,Punto Reparto 160,Carabayllo,punto_reparto,-11.87353,-77.020213,5,10,20,4
161,Cliente Final 161,Pachacámac,cliente_final,-12.225622,-76.867784,6,9,14,3
162,Cliente Final 162,Carabayllo,cliente_final,-11.902728,-77.040952,8,8,14,4
163,Hub Distribución 163,Lince,hub_distribución,-12.065487,-77.038917,39,8,16,2
164,Punto Reparto 164,Independencia,punto_reparto,-12.001131,-77.075594,23,10,14,2
165,Punto Reparto 165,Surco,punto_reparto,-12.154332,-76.995517,22,11,16,5
166,Cliente Final 166,Villa El Salvador,cliente_final,-12.18628,-76.915689,8,11,18,5
167,Cliente Final 167,Lurín,cliente_final,-12.276195,-76.879524,5,8,14,2
168,Cliente Final 168,Breña,cliente_final,-12.052663,-77.070469,4,10,14,2
169,Cliente Final 169,Villa María,cliente_final,-12.147273,-76.91861,3,8,16,1
170,Cliente Final 170,Lurín,cliente_final,-12.272329,-76.874088,8,11,18,1
171,Almacén 171,Villa María,almacén,-12.145097,-76.963839,0,10,18,4
172,Cliente Final 172,Barranco,cliente_final,-12.151477,-77.006172,4,10,16,4
173,Punto Reparto 173,Surco,punto_reparto,-12.164479,-76.994993,22,9,16,3
174,Cliente Final 174,Comas,cliente_final,-11.916504,-77.032894,3,8,14,2
175,Punto Reparto 175,Independencia,punto_reparto,-11.991565,-77.064259,14,10,20,1
176,Cliente Final 176,Pachacámac,cliente_final,-12.254181,-76.853764,5,11,18,5
177,Punto Reparto 177,Magdalena,punto_reparto,-12.064214,-77.043468,20,11,14,5
178,Cliente Final 178,San Isidro,cliente_final,-12.084051,-77.014562,7,10,18,1
179,Punto Reparto 179,Barranco,punto_reparto,-12.157933,-77.024173,12,8,18,5
180,Punto Reparto 180,San Isidro,punto_reparto,-12.074797,-77.031491,29,9,20,5
181,Punto Reparto 181,Breña,punto_reparto,-12.053315,-77.047694,19,10,16,5
182,Punto Reparto 182,Lurín,punto_reparto,-12.297322,-76.861421,25,11,14,4
183,Cliente Final 183,San Juan Lurig.,cliente_final,-12.146384,-76.978992,7,10,18,1
184,Cliente Final 184,Carabayllo,cliente_final,-11.877405,-77.026953,3,10,20,4
185,Almacén 185,Santa Anita,almacén,-12.051726,-76.980199,0,11,14,4
186,Cliente Final 186,Barranco,cliente_final,-12.132543,-77.015685,6,10,18,1
187,Almacén 187,Los Olivos,almacén,-12.004352,-77.088181,0,11,14,5
188,Punto Reparto 188,Pachacámac,punto_reparto,-12.239471,-76.867504,18,8,16,5
189,Punto Reparto 189,San Juan Lurig.,punto_reparto,-12.163126,-76.959792,24,11,20,1
190,Punto Reparto 190,Chorrillos,punto_reparto,-12.169301,-77.008317,13,9,18,4
191,Cliente Final 191,Puente Piedra,cliente_final,-11.863896,-77.061882,8,8,14,5
192,Punto Reparto 192,Independencia,punto_reparto,-12.007646,-77.038671,12,9,18,5
193,Cliente Final 193,Miraflores,cliente_final,-12.131188,-77.030243,9,11,14,2
194,Hub Distribución 194,Comas,hub_distribución,-11.940369,-77.058562,44,11,14,2
195,Punto Reparto 195,Lince,punto_reparto,-12.097993,-77.057907,27,10,18,4
196,Punto Reparto 196,Comas,punto_reparto,-11.958598,-77.067405,20,11,16,4
197,Punto Reparto 197,Magdalena,punto_reparto,-12.082156,-77.084206,9,11,16,5
198,Cliente Final 198,Jesús María,cliente_final,-12.053461,-77.044602,3,8,18,4
199,Punto Reparto 199,El Agustino,punto_reparto,-12.056384,-77.025386,30,10,14,3
200,Punto Reparto 200,San Martín Porres,punto_reparto,-12.036553,-77.08107,14,11,16,4
201,Punto Reparto 201,Magdalena,punto_reparto,-12.109765,-77.087268,20,10,18,5
202,Punto Reparto 202,Los Olivos,punto_reparto,-12.004683,-77.076787,22,11,20,3
203,Cliente Final 203,Carabayllo,cliente_final,-11.87048,-77.053034,4,9,20,2
204,Cliente Final 204,Carabayllo,cliente_final,-11.873605,-77.050912,7,8,18,4
205,Punto Reparto 205,Rímac,punto_reparto,-12.007556,-77.053646,30,11,20,2
206,Punto Reparto 206,Lince,punto_reparto,-12.06969,-77.024287,6,9,18,1
207,Punto Reparto 207,Carabayllo,punto_reparto,-11.894533,-77.036476,19,8,20,1
208,Punto Reparto 208,San Martín Porres,punto_reparto,-12.014087,-77.076554,9,11,16,1
209,Punto Reparto 209,Lince,punto_reparto,-12.072626,-77.059866,30,10,18,5
210,Punto Reparto 210,Rímac,punto_reparto,-12.017933,-77.01194,17,8,18,5
211,Punto Reparto 211,Villa El Salvador,punto_reparto,-12.208394,-76.959641,15,11,14,5
212,Punto Reparto 212,Barranco,punto_reparto,-12.143669,-77.034576,12,10,16,1
213,Punto Reparto 213,Lurín,punto_reparto,-12.284136,-76.893996,8,8,20,2
214,Punto Reparto 214,Rímac,punto_reparto,-12.043028,-77.040325,14,8,14,3
215,Cliente Final 215,Independencia,cliente_final,-11.970474,-77.05532,1,10,18,3
216,Punto Reparto 216,Lurín,punto_reparto,-12.263541,-76.870078,9,9,20,5
217,Cliente Final 217,Lima Cercado,cliente_final,-12.043445,-77.026758,3,9,16,1
218,Punto Reparto 218,Pueblo Libre,punto_reparto,-12.078117,-77.080321,17,9,20,5
219,Punto Reparto 219,La Molina,punto_reparto,-12.090346,-76.937304,12,11,18,4
220,Hub Distribución 220,Ate,hub_distribución,-12.037195,-76.885674,31,11,18,5
221,Punto Reparto 221,San Borja,punto_reparto,-12.121539,-77.020411,7,11,18,5
222,Punto Reparto 222,Santa Anita,punto_reparto,-12.059602,-76.978866,25,11,18,4
223,Cliente Final 223,Carabayllo,cliente_final,-11.890745,-77.046331,5,9,20,4
224,Punto Reparto 224,Surco,punto_reparto,-12.167988,-76.998474,12,11,18,5
225,Punto Reparto 225,Santa Anita,punto_reparto,-12.022781,-76.981298,27,10,14,4
226,Cliente Final 226,Ate,cliente_final,-12.006526,-76.891725,1,8,20,3
227,Cliente Final 227,Los Olivos,cliente_final,-12.002105,-77.086456,4,10,16,2
228,Punto Reparto 228,Pueblo Libre,punto_reparto,-12.053231,-77.058862,13,9,14,1
229,Punto Reparto 229,Santa Anita,punto_reparto,-12.057901,-76.948425,30,11,14,5
230,Punto Reparto 230,San Juan Lurig.,punto_reparto,-12.168816,-76.983728,28,9,14,3
231,Hub Distribución 231,El Agustino,hub_distribución,-12.05288,-77.029258,83,9,16,2
232,Punto Reparto 232,Independencia,punto_reparto,-12.000568,-77.055938,22,10,18,2
233,Punto Reparto 233,Ate,punto_reparto,-12.030943,-76.908371,20,10,18,1
234,Punto Reparto 234,Pachacámac,punto_reparto,-12.24017,-76.890279,7,9,16,4
235,Cliente Final 235,Carabayllo,cliente_final,-11.855502,-77.038882,9,10,14,4
236,Cliente Final 236,Miraflores,cliente_final,-12.131368,-77.019125,5,8,20,3
237,Punto Reparto 237,Lima Cercado,punto_reparto,-12.040518,-77.032521,28,10,20,3
238,Cliente Final 238,Surco,cliente_final,-12.154557,-76.978224,4,11,14,5
239,Cliente Final 239,Puente Piedra,cliente_final,-11.846749,-77.098785,9,10,16,1
240,Punto Reparto 240,Breña,punto_reparto,-12.039983,-77.069538,19,10,20,1
241,Cliente Final 241,La Molina,cliente_final,-12.071444,-76.940876,1,8,18,4
242,Punto Reparto 242,Surco,punto_reparto,-12.165011,-76.984937,8,9,16,4
243,Cliente Final 243,Pachacámac,cliente_final,-12.248817,-76.888787,6,11,16,4
244,Punto Reparto 244,Breña,punto_reparto,-12.05364,-77.052447,8,11,20,3
245,Cliente Final 245,San Isidro,cliente_final,-12.07864,-77.042178,6,9,20,4
246,Punto Reparto 246,Villa María,punto_reparto,-12.166443,-76.947253,16,8,18,5
247,Punto Reparto 247,Puente Piedra,punto_reparto,-11.879931,-77.06762,25,10,14,4
248,Punto Reparto 248,Ate,punto_reparto,-12.043389,-76.890021,11,8,20,1
249,Hub Distribución 249,Lima Cercado,hub_distribución,-12.043122,-77.010776,57,8,14,3
250,Hub Distribución 250,Villa María,hub_distribución,-12.182555,-76.919108,46,9,14,5
251,Cliente Final 251,Chorrillos,cliente_final,-12.178255,-77.040536,10,9,16,3
252,Cliente Final 252,Los Olivos,cliente_final,-11.983996,-77.068327,3,8,18,2
253,Punto Reparto 253,La Molina,punto_reparto,-12.06907,-76.962016,22,10,16,1
254,Punto Reparto 254,Lima Cercado,punto_reparto,-12.057876,-77.018903,5,9,14,3
255,Cliente Final 255,Independencia,cliente_final,-11.986506,-77.046877,4,10,14,2
256,Punto Reparto 256,Ate,punto_reparto,-12.037896,-76.893937,6,9,20,5
257,Punto Reparto 257,Surco,punto_reparto,-12.129677,-77.018326,28,8,20,4
258,Punto Reparto 258,Los Olivos,punto_reparto,-11.975135,-77.087504,16,8,20,5
259,Hub Distribución 259,Villa María,hub_distribución,-12.152287,-76.930098,35,10,20,1
260,Punto Reparto 260,San Isidro,punto_reparto,-12.087803,-77.034664,20,11,20,1
261,Cliente Final 261,Lince,cliente_final,-12.092715,-77.05262,8,8,14,3
262,Punto Reparto 262,Pueblo Libre,punto_reparto,-12.07053,-77.066657,9,8,16,3
263,Hub Distribución 263,Pueblo Libre,hub_distribución,-12.052336,-77.079032,100,10,20,5
264,Almacén 264,Jesús María,almacén,-12.073006,-77.037727,0,10,20,5
265,Punto Reparto 265,Pueblo Libre,punto_reparto,-12.056094,-77.040094,18,8,14,5
266,Cliente Final 266,San Martín Porres,cliente_final,-12.010167,-77.048875,4,11,20,2
267,Hub Distribución 267,Lurín,hub_distribución,-12.295373,-76.866186,73,11,20,4
268,Cliente Final 268,San Martín Porres,cliente_final,-12.023793,-77.058178,2,10,20,3
269,Punto Reparto 269,Lima Cercado,punto_reparto,-12.024022,-77.033558,13,10,16,4
270,Punto Reparto 270,Barranco,punto_reparto,-12.121058,-77.004755,7,8,14,4
271,Punto Reparto 271,Surco,punto_reparto,-12.125958,-76.981205,28,10,16,5
272,Punto Reparto 272,San Isidro,punto_reparto,-12.092936,-77.04185,23,10,14,4
273,Almacén 273,San Juan Lurig.,almacén,-12.16824,-76.964857,0,11,14,3
274,Punto Reparto 274,Pueblo Libre,punto_reparto,-12.083025,-77.066792,14,10,14,5
275,Punto Reparto 275,Jesús María,punto_reparto,-12.052307,-77.050983,11,9,20,2
276,Punto Reparto 276,Carabayllo,punto_reparto,-11.868125,-77.032389,8,10,18,1
277,Punto Reparto 277,Los Olivos,punto_reparto,-11.992378,-77.087957,13,9,20,5
278,Cliente Final 278,Los Olivos,cliente_final,-11.990082,-77.074054,10,8,18,1
279,Hub Distribución 279,San Borja,hub_distribución,-12.11528,-76.996471,64,10,18,3
280,Punto Reparto 280,Miraflores,punto_reparto,-12.143445,-77.020023,10,9,20,1
281,Punto Reparto 281,La Molina,punto_reparto,-12.060446,-76.962167,28,8,14,5
282,Punto Reparto 282,Chorrillos,punto_reparto,-12.190733,-76.997656,17,11,20,3
283,Cliente Final 283,San Borja,cliente_final,-12.103631,-77.022146,6,10,18,5
284,Punto Reparto 284,Pueblo Libre,punto_reparto,-12.089205,-77.041797,7,8,16,2
285,Punto Reparto 285,Los Olivos,punto_reparto,-12.005466,-77.093173,24,8,14,3
286,Cliente Final 286,Pachacámac,cliente_final,-12.228758,-76.893715,7,11,20,4
287,Punto Reparto 287,Ate,punto_reparto,-12.032336,-76.90878,11,8,18,4
288,Punto Reparto 288,Surco,punto_reparto,-12.151962,-76.996718,14,11,18,1
289,Cliente Final 289,Villa María,cliente_final,-12.179304,-76.923011,7,8,14,2
290,Hub Distribución 290,Santa Anita,hub_distribución,-12.053235,-76.973363,57,9,18,3
291,Punto Reparto 291,El Agustino,punto_reparto,-12.044563,-77.033731,8,8,20,4
292,Almacén 292,San Borja,almacén,-12.097601,-76.992554,0,9,20,5
293,Cliente Final 293,Rímac,cliente_final,-12.042501,-77.045146,4,10,14,4
294,Cliente Final 294,Carabayllo,cliente_final,-11.904014,-77.049795,1,11,14,4
295,Punto Reparto 295,Callao,punto_reparto,-12.072073,-77.110363,7,10,20,5
296,Cliente Final 296,Villa El Salvador,cliente_final,-12.230028,-76.952841,7,10,14,4
297,Punto Reparto 297,Miraflores,punto_reparto,-12.101315,-77.011689,15,9,20,3
298,Punto Reparto 298,Barranco,punto_reparto,-12.136896,-77.036451,18,8,16,4
299,Punto Reparto 299,San Miguel,punto_reparto,-12.057083,-77.11105,17,8,20,3
300,Punto Reparto 300,San Martín Porres,punto_reparto,-12.034606,-77.093673,15,9,18,2
301,Cliente Final 301,Barranco,cliente_final,-12.141148,-77.025629,9,8,16,3
302,Punto Reparto 302,San Juan Lurig.,punto_reparto,-12.144128,-76.987909,28,9,16,1
303,Punto Reparto 303,La Molina,punto_reparto,-12.089515,-76.940085,13,9,16,5
304,Punto Reparto 304,La Molina,punto_reparto,-12.077293,-76.949129,29,8,16,4
305,Cliente Final 305,Pachacámac,cliente_final,-12.235194,-76.882277,10,11,18,3
306,Cliente Final 306,La Molina,cliente_final,-12.07032,-76.962594,8,8,20,4
307,Cliente Final 307,Breña,cliente_final,-12.062528,-77.033872,5,10,14,3
308,Punto Reparto 308,Jesús María,punto_reparto,-12.077039,-77.067177,7,10,20,4
309,Punto Reparto 309,San Isidro,punto_reparto,-12.095418,-77.030126,6,10,18,1
310,Cliente Final 310,Breña,cliente_final,-12.079932,-77.036853,2,11,20,5
311,Punto Reparto 311,Magdalena,punto_reparto,-12.087915,-77.084716,30,8,20,5
312,Punto Reparto 312,Breña,punto_reparto,-12.08598,-77.032885,11,10,20,5
