origen,destino,distancia_km,tiempo_min,costo_sol,tipo_via,congestion
19,387,1.6188,4.58,2.43,vía_expresa,media
20,893,0.7074,6.19,2.43,jirón,baja
20,1467,0.7353,6.26,2.51,jirón,baja
20,102,0.763,6.42,1.45,jirón,baja
20,1225,0.8007,4.21,1.82,carretera,baja
20,1231,0.9467,3.25,1.86,avenida,baja
20,313,1.0444,5.96,2.04,vía_expresa,alta
21,1300,0.6752,4.33,1.41,jirón,baja
21,564,0.7674,6.32,2.37,carretera,media
21,789,1.1722,6.33,2.07,vía_expresa,baja
21,16,1.1781,5.76,2.99,carretera,alta
21,1214,1.1821,6.07,2.13,vía_expresa,baja
21,532,1.1874,3.49,2.97,jirón,alta
22,283,0.0965,3.0,0.95,vía_expresa,baja
22,576,0.1048,1.25,0.79,carretera,alta
22,556,0.1597,2.91,0.95,vía_expresa,alta
22,788,0.2573,3.21,1.61,avenida,baja
22,1395,0.3021,3.83,0.83,jirón,media
22,988,0.4189,5.47,2.35,avenida,baja
23,356,0.317,2.65,1.7,carretera,media
23,214,0.6096,4.9,1.22,avenida,alta
23,592,0.654,3.03,1.31,vía_expresa,media
23,445,0.6677,5.85,1.27,carretera,alta
23,976,0.6738,4.47,1.29,avenida,media
23,1378,0.6777,2.53,1.27,carretera,alta
24,578,0.7962,4.03,1.82,carretera,alta
24,868,1.6539,7.63,3.3,carretera,media
24,125,1.7501,8.07,2.46,vía_expresa,baja
24,647,1.8351,6.89,3.44,vía_expresa,baja
24,95,1.9085,5.57,2.2,jirón,baja
24,1272,1.9669,6.81,2.42,vía_expresa,media
25,846,0.1364,1.74,1.96,vía_expresa,baja
25,814,0.3855,3.54,2.31,vía_expresa,media
25,160,0.6896,4.35,2.35,jirón,baja
25,947,0.8128,4.02,1.5,carretera,baja
25,498,0.8954,6.13,2.39,carretera,alta
25,513,1.1828,6.93,2.38,avenida,alta
26,997,0.1462,4.36,0.9,avenida,baja
26,742,0.2646,4.6,1.74,carretera,baja
26,990,0.2843,2.71,2.21,avenida,media
26,401,0.3654,3.22,2.2,avenida,media
26,1290,0.4126,2.44,0.97,vía_expresa,media
26,734,0.5367,4.59,1.36,avenida,media
27,705,0.404,5.69,1.83,vía_expresa,media
27,1160,0.4327,5.66,2.37,jirón,baja
27,626,0.6804,5.81,2.28,carretera,media
27,1233,0.72,5.63,2.23,vía_expresa,baja
27,1331,0.7804,4.16,1.43,vía_expresa,baja
27,806,0.7907,2.66,1.48,vía_expresa,media
28,35,0.5763,3.29,2.12,jirón,baja
28,1145,0.6808,3.56,2.28,carretera,alta
28,499,0.8984,5.21,1.8,avenida,media
28,926,0.9785,5.01,2.07,vía_expresa,media
28,876,1.0718,4.22,2.31,avenida,media
28,1011,1.1934,6.63,2.44,vía_expresa,alta
29,3,0.482,3.67,0.97,carretera,media
29,400,0.5454,4.8,1.94,jirón,media
29,1,0.6465,4.4,2.02,avenida,media
29,1430,0.9332,4.74,1.41,vía_expresa,media
29,171,0.9577,3.51,1.51,carretera,baja
29,786,0.9707,5.03,1.77,avenida,alta
30,1085,0.173,1.65,0.71,avenida,alta
30,548,0.2845,3.27,0.88,carretera,media
30,867,0.4107,2.84,0.97,avenida,baja
30,1180,0.7257,5.41,1.81,jirón,media
30,643,0.7859,2.75,1.79,carretera,media
30,423,0.9617,5.27,2.0,vía_expresa,alta
31,191,0.6013,5.43,1.52,jirón,baja
31,52,0.6184,2.98,2.15,carretera,alta
31,745,0.6837,2.79,1.88,avenida,media
31,1375,0.8101,3.09,1.45,vía_expresa,media
31,1055,0.935,5.64,2.6,vía_expresa,media
31,874,1.0363,5.55,2.84,carretera,alta
32,246,0.5401,4.78,1.99,vía_expresa,media
32,1329,0.6348,2.62,1.24,jirón,baja
32,1062,1.0055,6.27,2.4,jirón,baja
32,1073,1.2587,4.35,2.54,jirón,media
32,354,1.3662,7.1,2.95,jirón,baja
32,956,1.3957,4.99,2.38,vía_expresa,media
33,196,0.6648,2.42,1.31,jirón,alta
33,470,0.6987,5.21,2.54,vía_expresa,baja
33,741,0.7522,5.94,2.02,jirón,media
33,425,1.1457,5.57,2.72,avenida,media
33,1098,1.1868,3.41,2.45,vía_expresa,media
33,1161,1.3258,7.05,2.73,carretera,baja
34,97,0.3404,3.63,1.52,vía_expresa,baja
34,1288,0.4683,4.79,1.69,vía_expresa,alta
34,1389,0.5162,3.3,1.03,vía_expresa,media
34,525,0.5585,2.58,1.91,carretera,media
34,612,0.6132,5.02,1.05,carretera,alta
34,1249,0.7893,3.35,1.69,jirón,alta
35,28,0.5763,3.03,2.35,carretera,alta
35,959,1.0136,6.44,2.43,vía_expresa,baja
35,1011,1.0934,6.72,2.51,vía_expresa,media
35,499,1.2025,6.74,2.53,carretera,media
35,391,1.2172,6.63,2.8,jirón,media
35,1145,1.2566,6.28,1.7,vía_expresa,baja
36,1063,0.0717,1.84,0.8,vía_expresa,baja
36,435,0.3306,4.84,2.2,vía_expresa,media
36,492,0.4016,2.74,1.68,avenida,media
36,644,0.4159,5.36,1.39,jirón,baja
36,574,0.4343,5.18,2.21,avenida,baja
36,1057,0.4815,3.31,1.08,jirón,baja
37,176,0.6815,4.61,1.81,carretera,media
37,1476,0.725,5.53,2.27,carretera,baja
37,739,0.7369,5.89,2.44,avenida,alta
37,1442,0.8252,2.85,2.62,vía_expresa,baja
37,983,0.8911,6.68,2.43,avenida,alta
37,455,1.1737,3.52,1.66,avenida,baja
38,1049,0.4928,5.63,1.15,carretera,alta
38,1183,0.5356,3.84,1.71,avenida,baja
38,121,0.6189,4.83,1.53,jirón,baja
38,693,0.64,5.67,1.7,vía_expresa,baja
38,663,0.7857,3.55,2.38,carretera,media
38,621,0.7876,4.6,1.3,carretera,alta
39,419,0.0685,4.16,1.1,jirón,baja
39,692,0.1016,4.22,1.38,jirón,baja
39,1046,0.2335,4.67,1.32,vía_expresa,media
39,838,0.3154,5.44,1.54,carretera,baja
39,373,0.3179,3.41,1.93,avenida,baja
39,375,0.4202,3.19,1.46,jirón,media
40,414,0.3453,1.94,1.93,jirón,alta
40,1167,0.551,2.33,1.92,carretera,media
40,1247,0.7587,4.13,2.17,carretera,alta
40,771,0.7867,5.54,2.53,avenida,media
40,88,0.9304,6.46,2.21,jirón,alta
40,1112,0.9342,4.48,2.26,vía_expresa,alta
41,87,0.4601,3.3,2.11,vía_expresa,baja
41,909,0.6648,5.85,1.19,carretera,media
41,785,0.7119,5.32,2.22,jirón,alta
41,860,0.78,6.53,1.59,avenida,alta
41,951,0.8912,4.99,2.04,jirón,baja
41,851,0.8959,2.9,2.46,carretera,baja
42,1480,0.3532,5.04,1.26,vía_expresa,alta
42,729,0.4878,2.42,1.0,carretera,media
42,934,0.8834,5.27,1.78,avenida,alta
42,108,1.0124,6.79,2.03,avenida,media
42,1110,1.2732,4.9,1.94,jirón,media
42,466,1.3957,4.99,2.69,jirón,alta
43,1219,0.0125,2.54,1.62,avenida,media
43,175,0.2342,3.53,0.99,carretera,media
43,821,0.3265,2.04,1.84,vía_expresa,baja
43,1259,0.378,2.12,1.46,jirón,media
43,529,0.5946,3.05,1.12,vía_expresa,alta
43,852,0.6443,4.52,2.22,carretera,alta
44,1497,0.1141,3.22,1.23,vía_expresa,alta
44,163,0.1353,4.99,1.35,vía_expresa,baja
44,1434,0.4194,2.42,1.05,vía_expresa,baja
44,177,0.4621,5.8,1.66,avenida,alta
44,1284,0.532,2.91,1.66,jirón,alta
44,711,0.5605,3.6,2.4,vía_expresa,baja
45,188,0.4153,2.31,1.71,avenida,alta
45,1293,0.5182,2.65,1.5,carretera,media
45,116,0.6482,3.47,1.09,jirón,baja
45,904,0.8109,5.76,1.82,carretera,media
45,99,0.8224,3.51,2.43,vía_expresa,baja
45,676,0.8237,3.14,1.72,avenida,media
46,1156,0.222,3.37,1.15,vía_expresa,media
46,61,0.3515,4.83,1.51,jirón,baja
46,632,0.4571,3.93,1.58,vía_expresa,alta
46,463,0.4839,3.76,2.21,carretera,baja
46,808,0.5683,5.34,1.98,vía_expresa,media
46,1185,0.6145,3.16,1.62,avenida,alta
47,325,0.5349,5.63,2.06,avenida,baja
47,1367,1.0095,5.85,2.22,carretera,alta
47,1491,1.098,5.78,2.4,avenida,baja
47,766,1.1746,7.17,2.31,avenida,alta
47,1221,1.2408,5.57,2.68,avenida,baja
47,78,1.2637,6.16,2.37,avenida,media
48,604,0.1401,4.43,0.99,vía_expresa,baja
48,1376,0.2037,4.64,1.58,vía_expresa,alta
48,553,0.2919,1.76,2.04,avenida,media
48,488,0.3521,3.45,1.42,carretera,media
48,221,0.4411,2.91,1.05,avenida,alta
48,81,0.4884,2.65,1.13,carretera,baja
49,389,0.2465,2.11,2.14,jirón,baja
49,286,0.3541,4.17,1.29,avenida,alta
49,417,0.3765,1.99,1.4,carretera,baja
49,430,0.7352,4.12,1.61,vía_expresa,baja
49,1422,0.8111,2.83,1.55,jirón,media
49,234,1.0275,5.09,2.13,avenida,media
50,697,0.3683,1.98,1.51,vía_expresa,baja
50,84,0.5272,3.99,1.56,jirón,baja
50,865,0.759,3.59,2.59,avenida,baja
50,366,0.9346,5.92,2.27,jirón,media
50,1123,1.1931,5.66,2.18,jirón,baja
50,562,1.3488,5.19,3.12,jirón,alta
51,1012,0.3206,5.45,2.21,vía_expresa,baja
51,885,0.9764,2.96,2.03,carretera,alta
51,1307,1.2061,7.3,1.53,vía_expresa,media
51,1189,1.5037,6.4,3.04,vía_expresa,media
51,1152,1.6026,7.57,2.18,carretera,baja
51,1359,1.6734,4.99,2.72,avenida,media
52,1375,0.4467,2.25,1.93,jirón,alta
52,191,0.6147,4.46,1.44,vía_expresa,baja
52,31,0.6184,4.68,2.46,carretera,alta
52,414,0.7116,6.2,2.06,vía_expresa,media
52,1247,0.808,3.6,2.66,carretera,baja
52,745,0.8355,4.51,2.11,avenida,alta
53,1384,0.1081,1.75,1.98,vía_expresa,baja
53,782,0.2774,5.16,1.74,vía_expresa,alta
53,105,0.2867,5.15,1.8,vía_expresa,alta
53,1251,0.5618,2.45,2.29,avenida,alta
53,774,0.7404,2.6,2.38,vía_expresa,alta
53,1465,0.7422,2.98,2.59,vía_expresa,alta
54,364,0.1906,2.81,0.93,avenida,baja
54,269,0.4602,3.77,2.3,vía_expresa,baja
54,462,0.5144,2.91,0.97,carretera,alta
54,870,0.5468,5.78,1.5,avenida,alta
54,424,0.566,4.63,2.19,jirón,baja
54,597,0.5918,6.1,2.45,avenida,media
55,1276,0.5422,4.06,2.02,jirón,baja
55,754,0.7387,3.26,2.36,vía_expresa,baja
55,762,0.7596,6.0,2.0,vía_expresa,baja
55,805,0.7944,4.8,2.17,jirón,baja
55,910,0.9649,5.28,2.44,jirón,media
55,1334,0.999,6.73,2.63,carretera,baja
56,1082,0.1566,4.7,0.67,carretera,alta
56,1003,0.2367,3.71,1.38,vía_expresa,alta
56,1331,0.5379,4.77,1.93,carretera,media
56,1438,0.6242,5.63,1.64,avenida,alta
56,1160,0.6356,4.34,1.78,avenida,alta
56,1376,0.7686,3.44,1.57,vía_expresa,alta
57,579,0.3183,3.43,0.78,jirón,media
57,1399,0.3908,2.11,1.69,avenida,alta
57,969,0.4344,2.77,1.9,avenida,baja
57,998,0.4911,2.77,1.41,avenida,alta
57,397,0.4946,4.49,0.96,vía_expresa,baja
57,272,0.5126,4.4,1.88,carretera,media
58,298,0.2095,2.41,1.39,carretera,baja
58,664,0.2876,4.86,1.52,jirón,baja
58,1084,0.3806,4.86,1.75,avenida,alta
58,816,0.4094,3.6,1.04,avenida,baja
58,679,0.461,3.43,2.23,avenida,baja
58,1099,0.4668,2.18,2.1,avenida,media
59,841,0.7356,4.91,1.77,avenida,alta
59,687,0.9953,3.21,1.42,vía_expresa,media
59,929,1.0584,3.5,2.53,jirón,alta
59,289,1.2094,6.57,2.46,vía_expresa,media
59,723,1.4034,5.66,2.34,avenida,media
59,250,1.5003,6.6,2.79,avenida,media
60,315,0.0657,3.2,1.44,avenida,baja
60,275,0.1208,1.29,1.67,jirón,alta
60,427,0.1648,1.83,1.4,carretera,media
60,472,0.1804,3.29,1.58,jirón,baja
60,395,0.2094,1.97,0.74,jirón,media
60,574,0.2207,3.78,1.46,carretera,media
61,46,0.3515,4.04,1.61,jirón,baja
61,1185,0.4489,3.78,1.79,carretera,media
61,1429,0.4513,5.78,1.66,jirón,baja
61,1156,0.5287,3.01,2.18,avenida,media
61,463,0.5309,3.44,2.42,jirón,baja
61,1177,0.5754,3.52,1.99,vía_expresa,alta
62,349,0.3781,4.53,2.1,carretera,alta
62,241,0.4359,3.07,1.36,avenida,media
62,662,0.5902,5.68,2.37,vía_expresa,baja
62,328,0.592,5.86,1.96,jirón,media
62,726,0.7222,4.94,1.47,carretera,alta
62,954,0.7546,4.01,1.74,avenida,media
63,478,0.6638,2.37,1.6,avenida,baja
63,854,1.0711,4.3,1.7,carretera,baja
63,1145,1.1029,7.11,1.74,carretera,baja
63,670,1.1695,4.21,1.89,jirón,media
63,1011,1.2724,6.93,1.95,jirón,baja
63,926,1.2964,4.3,1.99,avenida,baja
64,595,0.0353,4.4,0.74,avenida,media
64,76,0.0478,4.84,1.0,jirón,media
64,824,0.4867,5.21,1.91,vía_expresa,alta
64,263,0.517,2.3,1.16,jirón,baja
64,817,0.5502,2.87,1.53,carretera,media
64,1336,0.6409,4.68,2.51,jirón,baja
65,1337,0.2845,4.62,1.62,carretera,baja
65,1035,0.4739,3.26,0.98,carretera,baja
65,120,0.499,5.4,2.38,vía_expresa,baja
65,1007,0.5142,4.94,2.11,avenida,baja
65,256,0.5197,4.07,2.07,carretera,media
65,986,0.6074,4.29,1.28,carretera,alta
66,1308,0.2351,4.25,1.77,vía_expresa,media
66,1436,0.3254,2.72,1.38,avenida,baja
66,171,0.5481,2.97,1.27,jirón,media
66,1108,0.6041,3.08,1.65,vía_expresa,alta
66,957,0.6958,3.02,2.36,carretera,alta
66,332,0.7629,2.86,2.28,carretera,media
67,1246,0.1199,3.32,0.95,avenida,media
67,333,0.2476,3.54,1.21,vía_expresa,media
67,768,0.2585,3.25,1.27,vía_expresa,media
67,472,0.329,2.75,0.82,vía_expresa,baja
67,427,0.3428,2.75,0.91,avenida,media
67,275,0.4136,5.2,1.62,avenida,media
68,10,0.8778,6.46,1.39,avenida,media
68,1206,1.3875,3.93,1.98,jirón,alta
68,1223,1.5193,5.36,2.25,carretera,baja
68,1199,1.9974,7.82,3.69,carretera,baja
68,239,2.0898,8.26,2.7,carretera,media
68,615,2.1231,9.03,3.54,avenida,media
69,640,0.1789,3.97,2.14,jirón,media
69,1104,0.2523,2.41,1.8,jirón,media
69,111,0.3675,2.67,1.69,vía_expresa,alta
69,1137,0.382,5.02,1.34,avenida,media
69,285,0.7275,5.84,1.76,vía_expresa,baja
69,143,0.8071,4.37,2.47,avenida,media
70,1054,0.1552,1.87,1.94,carretera,alta
70,1059,0.2447,1.53,1.92,carretera,media
70,336,0.3253,2.55,1.42,vía_expresa,alta
70,1071,0.3953,3.94,1.33,avenida,alta
70,896,0.4637,5.07,2.28,jirón,media
70,1125,0.4811,4.23,2.11,vía_expresa,media
71,312,0.1249,2.07,1.19,vía_expresa,baja
71,260,0.2288,3.36,1.19,vía_expresa,alta
71,1138,0.4286,5.44,1.0,avenida,alta
71,444,0.4746,4.16,0.95,vía_expresa,baja
71,1390,0.656,3.06,1.16,vía_expresa,media
71,1420,0.6876,3.2,1.52,avenida,media
72,1284,0.2388,1.71,1.48,jirón,media
72,792,0.2542,4.95,1.33,jirón,baja
72,500,0.3841,2.28,1.45,avenida,media
72,264,0.4676,5.76,2.2,jirón,baja
72,1449,0.4728,3.18,2.13,vía_expresa,baja
72,402,0.6134,4.64,2.43,jirón,alta
73,11,0.6208,5.11,1.72,jirón,baja
73,1496,0.6379,6.24,1.71,vía_expresa,alta
73,1209,0.7436,5.72,1.92,vía_expresa,media
73,911,0.7446,4.34,1.19,avenida,media
73,1081,0.8833,5.35,2.63,carretera,alta
73,663,0.8873,6.15,2.44,vía_expresa,alta
74,588,0.3911,5.08,2.11,vía_expresa,baja
74,1239,0.4164,2.55,1.78,vía_expresa,media
74,1291,0.5804,3.7,1.98,avenida,media
74,200,0.6402,5.08,1.11,jirón,media
74,240,0.7704,6.07,1.96,avenida,alta
74,1330,0.8534,5.61,2.58,vía_expresa,media
75,375,0.2918,5.55,1.58,carretera,baja
75,658,0.3515,4.72,1.56,carretera,media
75,980,0.3791,3.56,1.2,avenida,media
75,1046,0.3944,1.9,1.79,vía_expresa,media
75,419,0.4815,3.34,1.51,jirón,media
75,692,0.495,2.14,1.3,jirón,media
76,595,0.0346,3.75,1.23,vía_expresa,baja
76,64,0.0478,1.43,1.53,vía_expresa,baja
76,824,0.5042,3.89,1.35,jirón,baja
76,263,0.5648,5.48,1.89,jirón,media
76,817,0.5749,2.65,2.1,jirón,baja
76,1336,0.6812,5.05,1.1,carretera,baja
77,536,0.2168,3.2,0.95,avenida,alta
77,572,0.227,3.58,1.36,avenida,alta
77,682,0.2726,4.79,1.69,avenida,media
77,1428,0.2938,4.35,1.42,avenida,baja
77,309,0.3763,4.84,1.97,jirón,media
77,1257,0.3766,5.39,1.12,avenida,media
78,933,0.3822,1.88,0.85,jirón,alta
78,325,0.7862,5.25,1.5,avenida,alta
78,1491,0.9365,3.54,1.55,vía_expresa,alta
78,47,1.2637,3.96,2.06,jirón,alta
78,1221,1.2888,4.41,2.41,vía_expresa,baja
78,467,1.3096,4.55,1.77,carretera,baja
79,1029,0.3438,1.75,1.77,avenida,media
79,1143,0.4078,2.67,1.18,carretera,alta
79,1363,0.4958,4.49,0.99,jirón,media
79,577,0.6441,3.49,1.95,avenida,alta
79,620,0.8477,4.84,2.71,jirón,media
79,877,0.8517,6.54,2.12,vía_expresa,alta
80,337,0.2678,5.23,1.88,jirón,media
80,1345,0.2954,2.29,1.89,carretera,alta
80,361,0.3447,3.62,1.3,vía_expresa,media
80,947,1.0531,5.15,2.51,avenida,baja
80,814,1.1891,3.46,2.65,avenida,media
80,846,1.4473,4.84,2.37,jirón,alta
81,1376,0.4206,2.16,1.06,vía_expresa,media
81,720,0.4658,2.74,1.46,avenida,baja
81,48,0.4884,5.67,1.81,vía_expresa,alta
81,604,0.5852,5.68,1.2,carretera,alta
81,420,0.7176,5.58,1.17,vía_expresa,alta
81,553,0.7801,5.81,2.29,jirón,alta
82,1117,0.3203,2.97,1.14,avenida,alta
82,694,0.3702,5.69,2.02,jirón,alta
82,1194,0.6894,5.87,1.87,jirón,media
82,1216,0.955,5.43,1.41,vía_expresa,baja
82,939,0.9836,6.78,1.41,jirón,baja
82,730,0.9879,3.48,1.6,jirón,baja
83,1120,0.3384,3.71,1.43,vía_expresa,media
83,735,0.3702,2.4,1.11,vía_expresa,baja
83,1372,0.7066,4.84,1.56,vía_expresa,alta
83,1025,0.8186,3.44,2.49,vía_expresa,baja
83,354,0.8192,6.44,1.74,vía_expresa,baja
83,147,0.8605,4.6,1.87,vía_expresa,baja
84,366,0.4369,5.15,2.06,avenida,media
84,865,0.4888,3.69,1.04,carretera,alta
84,50,0.5272,4.2,1.78,jirón,media
84,697,0.8809,4.28,1.71,carretera,media
84,562,1.0076,5.26,2.08,carretera,baja
84,1123,1.021,5.9,1.66,jirón,baja
85,441,0.1519,1.36,1.38,carretera,media
85,249,0.1774,2.97,1.27,vía_expresa,alta
85,496,0.4964,3.49,1.66,avenida,media
85,673,0.6129,5.77,2.51,avenida,media
85,1370,0.6334,6.0,1.28,vía_expresa,media
85,447,0.6406,5.37,2.17,carretera,alta
86,204,0.3323,4.5,1.73,carretera,alta
86,203,0.7394,2.71,1.71,vía_expresa,alta
86,874,1.0786,4.14,2.13,carretera,alta
86,363,1.1393,6.1,1.51,jirón,media
86,1055,1.1441,5.71,2.89,jirón,media
86,667,1.2439,4.48,2.42,jirón,baja
87,851,0.4372,2.34,1.01,vía_expresa,media
87,951,0.4502,4.72,2.34,avenida,alta
87,41,0.4601,5.56,2.21,jirón,media
87,785,0.7538,3.52,1.59,vía_expresa,alta
87,570,0.7567,3.75,1.76,avenida,baja
87,860,0.7898,5.12,2.34,carretera,baja
88,1112,0.1974,2.47,0.98,vía_expresa,alta
88,1247,0.345,2.92,2.27,vía_expresa,baja
88,399,0.511,2.41,2.09,vía_expresa,alta
88,708,0.7136,4.09,1.54,vía_expresa,baja
88,414,0.819,3.34,1.48,jirón,baja
88,40,0.9304,4.81,2.04,avenida,media
89,1279,0.1455,3.56,0.94,jirón,baja
89,1394,0.2657,4.53,1.94,jirón,media
89,418,0.3962,5.72,2.14,vía_expresa,alta
89,157,0.4241,5.5,1.02,jirón,baja
89,706,0.4249,3.02,1.43,carretera,baja
89,1409,0.6732,3.72,1.95,vía_expresa,media
90,140,0.1489,3.99,0.78,avenida,media
90,330,0.6295,5.27,1.05,avenida,baja
90,983,0.6934,3.23,2.28,vía_expresa,alta
90,1189,0.8104,4.7,2.63,carretera,media
90,176,0.932,4.76,1.8,vía_expresa,media
90,1442,1.0304,4.54,2.71,carretera,baja
91,734,0.1854,5.13,1.66,vía_expresa,alta
91,377,0.2752,1.78,1.27,carretera,baja
91,721,0.4547,1.92,2.19,vía_expresa,alta
91,401,0.5329,5.41,2.34,avenida,alta
91,358,0.6146,2.72,1.82,jirón,media
91,26,0.6212,4.05,2.06,vía_expresa,alta
92,545,0.0414,2.74,0.82,carretera,baja
92,927,0.2219,3.98,2.0,carretera,alta
92,797,0.419,3.62,1.77,vía_expresa,alta
92,1434,0.4197,4.29,0.98,vía_expresa,media
92,790,0.4594,5.87,2.18,avenida,alta
92,1328,0.4787,3.5,1.82,jirón,alta
93,1066,0.4696,5.44,2.08,avenida,baja
93,1205,0.5195,4.03,1.07,vía_expresa,baja
93,1250,0.5644,5.71,2.41,vía_expresa,alta
93,157,0.6704,4.5,1.43,jirón,alta
